k	min_size	max_size	stat	(p-value<0.05)%
2	5	10	stdev	37.86407766990291
2	5	10	cov	23.300970873786408
2	10	10	stdev	25.24271844660194
2	10	10	cov	23.300970873786408
3	5	10	stdev	47.57281553398058
3	5	10	cov	42.71844660194175
3	10	10	stdev	39.80582524271845
3	10	10	cov	44.66019417475728
4	5	10	stdev	65.04854368932038
4	5	10	cov	59.22330097087379
4	10	10	stdev	60.19417475728155
4	10	10	cov	58.25242718446602
5	5	10	stdev	74.75728155339806
5	5	10	cov	75.72815533980582
5	10	10	stdev	76.69902912621359
5	10	10	cov	75.72815533980582
6	5	10	stdev	91.2621359223301
6	5	10	cov	87.37864077669903
6	10	10	stdev	85.4368932038835
6	10	10	cov	84.46601941747574
7	5	10	stdev	90.29126213592232
7	5	10	cov	92.23300970873787
7	10	10	stdev	92.23300970873787
7	10	10	cov	89.32038834951456
8	5	10	stdev	90.29126213592232
8	5	10	cov	91.2621359223301
8	10	10	stdev	92.23300970873787
8	10	10	cov	91.2621359223301
9	5	10	stdev	96.11650485436893
9	5	10	cov	90.29126213592232
9	10	10	stdev	92.23300970873787
9	10	10	cov	93.20388349514563
10	5	10	stdev	98.05825242718447
10	5	10	cov	92.23300970873787
10	10	10	stdev	92.23300970873787
10	10	10	cov	90.29126213592232
2	5	10	stdev	35.922330097087375
2	5	10	cov	25.24271844660194
2	10	10	stdev	30.097087378640776
2	10	10	cov	24.271844660194176
3	5	10	stdev	51.45631067961165
3	5	10	cov	36.89320388349515
3	10	10	stdev	38.83495145631068
3	10	10	cov	39.80582524271845
4	5	10	stdev	57.28155339805825
4	5	10	cov	60.19417475728155
4	10	10	stdev	59.22330097087379
4	10	10	cov	61.16504854368932
5	5	10	stdev	70.87378640776699
5	5	10	cov	73.7864077669903
5	10	10	stdev	72.81553398058253
5	10	10	cov	72.81553398058253
6	5	10	stdev	89.32038834951456
6	5	10	cov	86.40776699029126
6	10	10	stdev	85.4368932038835
6	10	10	cov	86.40776699029126
7	5	10	stdev	90.29126213592232
7	5	10	cov	91.2621359223301
7	10	10	stdev	89.32038834951456
7	10	10	cov	92.23300970873787
8	5	10	stdev	96.11650485436893
8	5	10	cov	91.2621359223301
8	10	10	stdev	93.20388349514563
8	10	10	cov	93.20388349514563
9	5	10	stdev	96.11650485436893
9	5	10	cov	93.20388349514563
9	10	10	stdev	92.23300970873787
9	10	10	cov	93.20388349514563
10	5	10	stdev	96.11650485436893
10	5	10	cov	92.23300970873787
10	10	10	stdev	91.2621359223301
10	10	10	cov	91.2621359223301
2	5	10	stdev	40.77669902912621
2	5	10	cov	24.271844660194176
2	10	10	stdev	19.41747572815534
2	10	10	cov	25.24271844660194
3	5	10	stdev	46.601941747572816
3	5	10	cov	39.80582524271845
3	10	10	stdev	39.80582524271845
3	10	10	cov	41.74757281553398
4	5	10	stdev	60.19417475728155
4	5	10	cov	60.19417475728155
4	10	10	stdev	57.28155339805825
4	10	10	cov	57.28155339805825
5	5	10	stdev	74.75728155339806
5	5	10	cov	74.75728155339806
5	10	10	stdev	75.72815533980582
5	10	10	cov	73.7864077669903
6	5	10	stdev	87.37864077669903
6	5	10	cov	85.4368932038835
6	10	10	stdev	84.46601941747574
6	10	10	cov	84.46601941747574
7	5	10	stdev	86.40776699029126
7	5	10	cov	92.23300970873787
7	10	10	stdev	93.20388349514563
7	10	10	cov	92.23300970873787
8	5	10	stdev	95.14563106796116
8	5	10	cov	92.23300970873787
8	10	10	stdev	94.1747572815534
8	10	10	cov	92.23300970873787
9	5	10	stdev	95.14563106796116
9	5	10	cov	93.20388349514563
9	10	10	stdev	93.20388349514563
9	10	10	cov	91.2621359223301
10	5	10	stdev	96.11650485436893
10	5	10	cov	90.29126213592232
10	10	10	stdev	90.29126213592232
10	10	10	cov	90.29126213592232
