k	min_size	stat	mean(size)	stdev(size)	(p-value<0.05)%
2	5	stdev	5.194174757281553	0.5060080683535699	34.95145631067961
2	5	cov	9.912621359223301	0.3164383939827304	30.097087378640776
2	10	stdev	10.0	0.0	22.33009708737864
2	10	cov	10.0	0.0	23.300970873786408
3	5	stdev	5.203883495145631	0.4719426539808494	48.54368932038835
3	5	cov	9.970873786407767	0.1689825771046658	39.80582524271845
3	10	stdev	10.0	0.0	37.86407766990291
3	10	cov	10.0	0.0	39.80582524271845
4	5	stdev	5.155339805825243	0.5001427551777838	61.16504854368932
4	5	cov	10.0	0.0	60.19417475728155
4	10	stdev	10.0	0.0	61.16504854368932
4	10	cov	10.0	0.0	61.16504854368932
5	5	stdev	5.155339805825243	0.519375219561041	74.75728155339806
5	5	cov	10.0	0.0	74.75728155339806
5	10	stdev	10.0	0.0	76.69902912621359
5	10	cov	10.0	0.0	75.72815533980582
6	5	stdev	5.194174757281553	0.44409530038849365	92.23300970873787
6	5	cov	10.0	0.0	84.46601941747574
6	10	stdev	10.0	0.0	87.37864077669903
6	10	cov	10.0	0.0	88.3495145631068
7	5	stdev	5.844660194174757	0.9472072630033178	94.1747572815534
7	5	cov	10.0	0.0	93.20388349514563
7	10	stdev	10.0	0.0	92.23300970873787
7	10	cov	10.0	0.0	93.20388349514563
8	5	stdev	6.320388349514563	1.1981488355040864	94.1747572815534
8	5	cov	9.990291262135923	0.09853292781642932	93.20388349514563
8	10	stdev	10.0	0.0	92.23300970873787
8	10	cov	10.0	0.0	92.23300970873787
9	5	stdev	6.864077669902913	1.2449784917373614	95.14563106796116
9	5	cov	9.990291262135923	0.09853292781642932	95.14563106796116
9	10	stdev	10.0	0.0	92.23300970873787
9	10	cov	10.0	0.0	94.1747572815534
10	5	stdev	6.592233009708738	1.4241398725359582	92.23300970873787
10	5	cov	9.970873786407767	0.21946059897436995	92.23300970873787
10	10	stdev	10.0	0.0	95.14563106796116
10	10	cov	10.0	0.0	89.32038834951456
