pool	pop_size	repeats	seq_len	stat	mean(correct)	stdv(correct)	correct%
balanced	50	3	200	mean_delta_jsd	50.0	0.0	100.0
balanced	50	3	200	mean_jsd	50.0	0.0	100.0
balanced	50	3	200	total_jsd	8.666666666666666	4.041451884327381	17.333333333333332
imbalanced	50	3	200	mean_delta_jsd	50.0	0.0	100.0
imbalanced	50	3	200	mean_jsd	50.0	0.0	100.0
imbalanced	50	3	200	total_jsd	23.0	2.6457513110645907	46.0
balanced	50	3	1000	mean_delta_jsd	50.0	0.0	100.0
balanced	50	3	1000	mean_jsd	50.0	0.0	100.0
balanced	50	3	1000	total_jsd	13.0	3.605551275463989	26.0
imbalanced	50	3	1000	mean_delta_jsd	50.0	0.0	100.0
imbalanced	50	3	1000	mean_jsd	50.0	0.0	100.0
imbalanced	50	3	1000	total_jsd	28.0	5.291502622129181	56.0
