k	min_size	max_size	stat	(p-value<0.05)%
2	5	30	stdev	21.311475409836067
2	5	30	cov	15.846994535519126
2	10	30	stdev	23.497267759562842
2	10	30	cov	15.846994535519126
3	5	30	stdev	36.612021857923494
3	5	30	cov	24.043715846994534
3	10	30	stdev	35.51912568306011
3	10	30	cov	17.48633879781421
4	5	30	stdev	50.81967213114754
4	5	30	cov	40.43715846994535
4	10	30	stdev	50.27322404371585
4	10	30	cov	31.147540983606557
5	5	30	stdev	68.85245901639344
5	5	30	cov	59.01639344262295
5	10	30	stdev	68.85245901639344
5	10	30	cov	54.6448087431694
6	5	30	stdev	79.23497267759562
6	5	30	cov	81.4207650273224
6	10	30	stdev	78.14207650273224
6	10	30	cov	63.9344262295082
7	5	30	stdev	84.15300546448087
7	5	30	cov	90.7103825136612
7	10	30	stdev	83.06010928961749
7	10	30	cov	80.8743169398907
8	5	30	stdev	88.52459016393442
8	5	30	cov	93.98907103825137
8	10	30	stdev	81.9672131147541
8	10	30	cov	94.53551912568307
9	5	30	stdev	91.80327868852459
9	5	30	cov	93.44262295081967
9	10	30	stdev	84.15300546448087
9	10	30	cov	95.62841530054645
10	5	30	stdev	95.08196721311475
10	5	30	cov	95.08196721311475
10	10	30	stdev	80.32786885245902
10	10	30	cov	97.26775956284153
2	5	30	stdev	25.136612021857925
2	5	30	cov	16.939890710382514
2	10	30	stdev	21.311475409836067
2	10	30	cov	16.939890710382514
3	5	30	stdev	37.15846994535519
3	5	30	cov	27.3224043715847
3	10	30	stdev	36.612021857923494
3	10	30	cov	18.579234972677597
4	5	30	stdev	52.459016393442624
4	5	30	cov	37.704918032786885
4	10	30	stdev	52.459016393442624
4	10	30	cov	30.05464480874317
5	5	30	stdev	71.03825136612022
5	5	30	cov	57.923497267759565
5	10	30	stdev	68.85245901639344
5	10	30	cov	50.27322404371585
6	5	30	stdev	77.04918032786885
6	5	30	cov	77.59562841530055
6	10	30	stdev	74.31693989071039
6	10	30	cov	69.39890710382514
7	5	30	stdev	84.15300546448087
7	5	30	cov	88.52459016393442
7	10	30	stdev	83.06010928961749
7	10	30	cov	84.15300546448087
8	5	30	stdev	89.07103825136612
8	5	30	cov	90.1639344262295
8	10	30	stdev	81.4207650273224
8	10	30	cov	92.89617486338798
9	5	30	stdev	91.80327868852459
9	5	30	cov	95.08196721311475
9	10	30	stdev	83.06010928961749
9	10	30	cov	96.72131147540983
10	5	30	stdev	93.44262295081967
10	5	30	cov	91.80327868852459
10	10	30	stdev	81.4207650273224
10	10	30	cov	95.62841530054645
2	5	30	stdev	27.3224043715847
2	5	30	cov	16.39344262295082
2	10	30	stdev	24.59016393442623
2	10	30	cov	15.846994535519126
3	5	30	stdev	35.51912568306011
3	5	30	cov	24.043715846994534
3	10	30	stdev	33.87978142076503
3	10	30	cov	19.672131147540984
4	5	30	stdev	52.459016393442624
4	5	30	cov	40.98360655737705
4	10	30	stdev	49.72677595628415
4	10	30	cov	31.147540983606557
5	5	30	stdev	69.94535519125684
5	5	30	cov	62.84153005464481
5	10	30	stdev	68.85245901639344
5	10	30	cov	49.72677595628415
6	5	30	stdev	78.14207650273224
6	5	30	cov	79.23497267759562
6	10	30	stdev	77.04918032786885
6	10	30	cov	67.75956284153006
7	5	30	stdev	86.88524590163935
7	5	30	cov	89.07103825136612
7	10	30	stdev	84.15300546448087
7	10	30	cov	85.79234972677595
8	5	30	stdev	90.1639344262295
8	5	30	cov	93.44262295081967
8	10	30	stdev	84.15300546448087
8	10	30	cov	90.1639344262295
9	5	30	stdev	89.61748633879782
9	5	30	cov	93.44262295081967
9	10	30	stdev	81.4207650273224
9	10	30	cov	94.53551912568307
10	5	30	stdev	95.08196721311475
10	5	30	cov	94.53551912568307
10	10	30	stdev	78.68852459016394
10	10	30	cov	96.72131147540983
