k	min_size	max_size	stat	(p-value<0.05)%
2	10	10	JSD	26.21359223300971
3	10	10	JSD	39.80582524271845
4	10	10	JSD	57.28155339805825
5	10	10	JSD	78.64077669902913
6	10	10	JSD	84.46601941747574
7	10	10	JSD	90.29126213592232
8	10	10	JSD	93.20388349514563
9	10	10	JSD	94.1747572815534
10	10	10	JSD	93.20388349514563
2	10	10	JSD	28.155339805825243
3	10	10	JSD	41.74757281553398
4	10	10	JSD	60.19417475728155
5	10	10	JSD	68.93203883495146
6	10	10	JSD	86.40776699029126
7	10	10	JSD	92.23300970873787
8	10	10	JSD	93.20388349514563
9	10	10	JSD	93.20388349514563
10	10	10	JSD	93.20388349514563
2	10	10	JSD	28.155339805825243
3	10	10	JSD	40.77669902912621
4	10	10	JSD	62.13592233009709
5	10	10	JSD	77.66990291262135
6	10	10	JSD	89.32038834951456
7	10	10	JSD	91.2621359223301
8	10	10	JSD	89.32038834951456
9	10	10	JSD	94.1747572815534
10	10	10	JSD	93.20388349514563
